Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","80.8","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","736","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","720","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","51.57","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","51.32","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3308","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3302","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","86.58","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","89.55","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","442","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","465","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","32.57","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","35.7","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3307","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3304","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","108.49","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","106.95","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","1045","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1017","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","69.84","Fc","Donnée calculée"
